beta rate of: 0.1
x, avg, lamb_avg
0, 1611, 0.0227920701362
1, 1606, 0.0219541739149
2, 1485, 0.0216314612217
3, 1446, 0.0205229330042
4, 1328, 0.0204723418579
5, 1297, 0.0200446249077
6, 1234, 0.0191898495557
7, 1196, 0.0180173751439
8, 1118, 0.0177636705871
9, 1045, 0.0168701255566
10, 1005, 0.0169268315216
11, 981, 0.0164170163536
12, 939, 0.0158519688596
13, 865, 0.0160708626837
14, 860, 0.0143695976302
15, 818, 0.0146221702385
16, 787, 0.0139305356462
17, 728, 0.0138142739358
18, 731, 0.0127561279845
19, 686, 0.0133027830141
20, 678, 0.0130036622233
21, 645, 0.0127133673476
22, 595, 0.0119283757184
23, 582, 0.0117123287395
24, 571, 0.0118408693747
25, 550, 0.0113514629059
26, 532, 0.0110274792053
27, 491, 0.010550971518
28, 498, 0.0106572661971
29, 471, 0.0104462490697
30, 442, 0.00983150678503
31, 454, 0.0104416598578
32, 417, 0.0104400777189
33, 412, 0.0095185235371
34, 407, 0.00912286654151
35, 380, 0.00902585496201
36, 368, 0.00883742195347
37, 354, 0.00898699505294
38, 343, 0.00852219004603
39, 299, 0.00752087418939
40, 333, 0.0084886767425
41, 311, 0.00810632087359
42, 312, 0.00867459500069
43, 285, 0.00758126938074
44, 292, 0.00769897636897
45, 285, 0.00775162017252
46, 273, 0.00761318535631
47, 265, 0.00750401255084
48, 259, 0.00697911703987
49, 233, 0.00742618052197
50, 231, 0.00700272737823
51, 230, 0.00684989816168
52, 231, 0.00721096504092
53, 204, 0.0059116443753
54, 210, 0.00654078601768
55, 205, 0.00633475733073
56, 206, 0.00603033007275
57, 191, 0.00592665307351
58, 190, 0.00639434700456
59, 190, 0.00645018735559
60, 182, 0.00608394384298
61, 175, 0.00593671364409
62, 174, 0.00576874341736
63, 162, 0.00550706309566
64, 168, 0.00582205830625
65, 157, 0.00509725871369
66, 157, 0.00534187285289
67, 150, 0.0055211419787
68, 156, 0.00515787675684
69, 141, 0.0047842905805
70, 133, 0.00492433963624
71, 137, 0.00485694785034
72, 143, 0.00487194806444
73, 135, 0.00490040046814
74, 125, 0.00474087575267
75, 118, 0.00420721810185
76, 119, 0.00443318039679
77, 120, 0.00444730858108
78, 114, 0.00407276440898
79, 123, 0.00492772739057
80, 113, 0.00448781190656
81, 116, 0.00454098968622
82, 106, 0.00419028290182
83, 105, 0.00402362995128
84, 110, 0.00460785437632
85, 101, 0.00399149121086
86, 99, 0.00409365375009
87, 98, 0.00413494676554
88, 98, 0.00390484803968
89, 92, 0.00392996612317
90, 90, 0.00394686529272
91, 97, 0.004290357634
92, 91, 0.00382269888467
93, 83, 0.0032850917611
94, 91, 0.00397135169921
95, 93, 0.00439199913906
96, 87, 0.00372688650823
97, 77, 0.00316715944946
98, 76, 0.00353422488003
99, 83, 0.00348144254353



beta rate of: 0.2
x, avg, lamb_avg
0, 3300, 0.0470129848891
1, 3017, 0.0409666931557
2, 2768, 0.0405303668648
3, 2418, 0.0371119059294
4, 2164, 0.0315839355001
5, 2024, 0.032308929799
6, 1855, 0.0303827826169
7, 1620, 0.0282635043627
8, 1572, 0.0277764951918
9, 1412, 0.0263890010439
10, 1289, 0.0257563525263
11, 1201, 0.0230126305894
12, 1129, 0.0226816205702
13, 1012, 0.0204624056837
14, 895, 0.019729078668
15, 890, 0.0197276564658
16, 792, 0.0186576275927
17, 741, 0.0173570261729
18, 710, 0.0179545064988
19, 653, 0.0163637727212
20, 641, 0.0164801119403
21, 598, 0.0161000664652
