beta rate of: 0.1
x, avg, lamb_avg
0, 11, 0.00567687250599
1, 10, 0.0052460260351
2, 8, 0.00473365099521
3, 7, 0.00424449451576
4, 7, 0.00395079835869
5, 6, 0.00366898282297
6, 5, 0.00327009395401
7, 5, 0.00299494341557
8, 4, 0.002953515145
9, 4, 0.00263697131371
10, 14, 0.0074537962316
11, 13, 0.0068142728509
12, 12, 0.00622211126796
13, 10, 0.00555103022125
14, 9, 0.00513080104937
15, 8, 0.00467471015466
16, 8, 0.00429534146508
17, 7, 0.00389329004797
18, 6, 0.00351722265061
19, 5, 0.00328475245115
20, 16, 0.00811986225039
21, 14, 0.00734127653938
22, 13, 0.00672661894202
23, 11, 0.00605832441904
24, 10, 0.00546659613359
25, 9, 0.00502898944652
26, 8, 0.00461817722484
27, 7, 0.00414531017877
28, 7, 0.00379550636994
29, 6, 0.00348417757491
30, 16, 0.00821148275322
31, 15, 0.00756616302228
32, 13, 0.00683475704668
33, 12, 0.00628046238238
34, 11, 0.00571884051713
35, 9, 0.00508988412096
36, 9, 0.00470903685176
37, 8, 0.0043162254746
38, 7, 0.00384508158338
39, 6, 0.00355096700046
40, 17, 0.00843390284109
41, 15, 0.00759779386518
42, 13, 0.00681957968307
43, 12, 0.00617189728209
44, 11, 0.00569494734182
45, 9, 0.00511266009869
46, 8, 0.00460350730899
47, 8, 0.00428045103045
48, 7, 0.00387839688412
49, 6, 0.00364568465943
50, 17, 0.00846885574199
51, 15, 0.00766764068567
52, 14, 0.00703215352835
53, 12, 0.00625238755436
54, 11, 0.00568829125634
55, 10, 0.00521538146516
56, 8, 0.00468142428568
57, 8, 0.00425304256237
58, 7, 0.00389598700232
59, 6, 0.0035934480462
60, 17, 0.00852745766073
61, 15, 0.00765983781489
62, 13, 0.00688453052166
63, 12, 0.00610957166579
64, 11, 0.00575095302145
65, 10, 0.00518814061933
66, 8, 0.00459164770242
67, 8, 0.00430188007929
68, 7, 0.00393412684996
69, 6, 0.00362862857244
70, 17, 0.00845625871401
71, 15, 0.00767267338376
72, 13, 0.00692942221083
73, 12, 0.00622874364263
74, 11, 0.00570132615481
75, 10, 0.00520069610241
76, 9, 0.0047489781878
77, 8, 0.00438826492015
78, 7, 0.00388078857381
79, 6, 0.00365395941737
80, 17, 0.00838971893464
81, 15, 0.0076803743912
82, 13, 0.00679411162126
83, 12, 0.00630626772882
84, 11, 0.0056082140013
85, 10, 0.00517551979208
86, 8, 0.0046739784103
87, 8, 0.0042131674886
88, 7, 0.00392530330969
89, 6, 0.00358621611791
90, 5, 0.00329114761697
91, 5, 0.00309026485452
92, 4, 0.00287170610813
93, 4, 0.00263485102904
94, 3, 0.00242108909477
95, 3, 0.00232521037249
96, 3, 0.00215020761296
97, 2, 0.00204666249997
98, 2, 0.00201526023185
99, 2, 0.00179049920442



beta rate of: 0.2
x, avg, lamb_avg
0, 22, 0.0110801528084
1, 17, 0.00877948303372
2, 14, 0.00717501971173
3, 11, 0.00578575736544
4, 9, 0.00474996007765
5, 7, 0.00393854590972
6, 5, 0.00331871517708
